Fecha,Categoría,Producto,Unidades,Precio Unitario,Total,Vendedor
24/07/2023,Juguetes,Puzzle,5,72.54,362.7,Ana
18/04/2023,Electrónica,Tablet,9,75.02,675.18,Carlos
14/05/2023,Ropa,Pantalón,5,55.2,276.0,Carlos
26/05/2023,Electrónica,Smartphone,5,279.29,1396.45,Desconocido
11/02/2023,Ropa,Pantalón,1,error,148.6,
19/12/2023,Electrónica,Smartphone,5,171.85,859.25,Desconocido
03/03/2023,Electrónica,Smartphone,3,193.02,579.06,Juan
16/05/2023,Ropa,Camiseta,5,76.71,383.55,Luis
09/09/2023,Ropa,Camiseta,9,150.09,1350.81,Juan
03/01/2023,Hogar,Mesa,10,108.0,1080.0,Marta
27/07/2023,Libros,Cómic,3,107.85,323.55,Juan
28/11/2023,Libros,Libro técnico,10,145.04,1450.4,Luis
04/04/2023,Ropa,Pantalón,1,288.62,288.62,Marta
14/07/2023,Ropa,Zapatos,1,19.05,19.05,Ana
04/11/2023,Electrónica,Tablet,3,270.28,810.84,Luis
17/04/2023,Hogar,Silla,1,176.35,176.35,Desconocido
17/10/2023,Hogar,Estantería,8,82.1,656.8,Desconocido
26/11/2023,Juguetes,Puzzle,3,287.77,863.31,Luis
21/01/2023,Electrónica,Televisor,6,146.46,878.76,Marta
12/01/2023,Ropa,Chaqueta,1,236.75,236.75,Marta
09/02/2023,Juguetes,Puzzle,6,206.08,1236.48,Ana
03/09/2023,Electrónica,Tablet,8,226.88,1815.04,Desconocido
21/10/2023,Electrónica,Televisor,2,90.59,181.18,Desconocido
26/11/2023,Electrónica,Tablet,4,266.55,1066.2,Carlos
09/05/2023,Hogar,Lámpara,10,error,1379.9,
28/01/2023,Hogar,Estantería,1,113.6,113.6,Marta
30/08/2023,Hogar,Estantería,5,105.45,527.25,Desconocido
07/12/2023,Libros,Novela,8,65.22,521.76,Luis
25/12/2023,Juguetes,Puzzle,7,117.87,825.09,Desconocido
04/04/2023,Libros,Libro técnico,7,158.85,1111.95,Desconocido
11/03/2023,Hogar,Estantería,6,121.66,729.96,Marta
07/11/2023,Juguetes,Coche de juguete,5,121.96,609.8,Ana
24/03/2023,Ropa,Pantalón,3,139.53,418.59,Ana
09/01/2023,Hogar,Mesa,1,166.05,166.05,Desconocido
24/04/2023,Ropa,Camiseta,6,186.45,1118.7,Marta
16/07/2023,Juguetes,Bloques,5,172.73,863.65,Carlos
09/10/2023,Electrónica,Tablet,5,107.67,538.35,Luis
06/02/2023,Electrónica,Smartphone,4,273.53,1094.12,Juan
13/11/2023,Ropa,Pantalón,5,222.29,1111.45,Marta
19/10/2023,Juguetes,Bloques,1,69.87,69.87,Luis
07/03/2023,Hogar,Lámpara,3,156.18,468.54,Carlos
27/08/2023,Ropa,Chaqueta,5,20.67,103.35,Juan
25/02/2023,Electrónica,Televisor,1,28.47,28.47,Juan
10/01/2023,Ropa,Zapatos,3,60.27,180.81,Juan
25/01/2023,Hogar,Lámpara,1,error,141.41,
02/07/2023,Hogar,Lámpara,7,15.13,105.91,Luis
09/02/2023,Ropa,Pantalón,3,152.46,457.38,Juan
28/11/2023,Electrónica,Tablet,3,293.11,879.33,Desconocido
12/11/2023,Electrónica,Auriculares,5,90.78,453.9,Carlos
06/07/2023,Electrónica,Auriculares,7,221.46,1550.22,Carlos
25/04/2023,Electrónica,Tablet,5,239.81,1199.05,Juan
27/06/2023,Electrónica,Auriculares,6,69.31,415.86,Juan
05/06/2023,Ropa,Chaqueta,1,246.98,246.98,Desconocido
03/05/2023,Ropa,Zapatos,1,134.17,134.17,Carlos
12/04/2023,Hogar,Silla,5,46.47,232.35,Luis
09/05/2023,Hogar,Silla,3,64.11,192.33,Desconocido
18/10/2023,Electrónica,Televisor,10,8.67,86.7,Carlos
30/10/2023,Libros,Biografía,9,206.17,1855.53,Carlos
22/09/2023,Hogar,Lámpara,9,249.1,2241.9,Desconocido
24/09/2023,Electrónica,Auriculares,8,97.04,776.32,Ana
30/05/2023,Juguetes,Muñeca,6,13.28,79.68,Luis
25/03/2023,Ropa,Camiseta,8,176.18,1409.44,Marta
22/07/2023,Electrónica,Televisor,4,282.78,1131.12,Desconocido
23/04/2023,Electrónica,Auriculares,1,273.72,273.72,Marta
12/06/2023,Libros,Libro técnico,4,error,867.16,
23/09/2023,Ropa,Zapatos,2,32.78,65.56,Desconocido
12/06/2023,Electrónica,Auriculares,3,206.73,620.19,Luis
26/10/2023,Hogar,Mesa,8,21.32,170.56,Luis
06/09/2023,Juguetes,Bloques,10,285.08,2850.8,Marta
25/06/2023,Libros,Biografía,5,182.09,910.45,Luis
23/04/2023,Hogar,Mesa,5,222.56,1112.8,Desconocido
31/08/2023,Electrónica,Smartphone,8,214.84,1718.72,Juan
04/04/2023,Hogar,Mesa,2,51.85,103.7,Juan
09/05/2023,Electrónica,Televisor,1,288.96,288.96,Carlos
20/07/2023,Hogar,Estantería,2,238.42,476.84,Juan
26/08/2023,Juguetes,Puzzle,2,292.13,584.26,Ana
28/11/2023,Hogar,Silla,10,170.4,1704.0,Juan
13/01/2023,Ropa,Chaqueta,1,224.36,224.36,Juan
11/12/2023,Hogar,Lámpara,5,78.06,390.3,Luis
06/11/2023,Libros,Cómic,4,174.8,699.2,Marta
07/12/2023,Juguetes,Bloques,9,78.2,703.8,Marta
19/08/2023,Ropa,Chaqueta,10,257.79,2577.9,Juan
15/09/2023,Electrónica,Televisor,2,9.09,18.18,Luis
08/07/2023,Juguetes,Coche de juguete,1,13.06,13.06,Marta
11/01/2023,Hogar,Silla,6,error,141.66,
08/05/2023,Juguetes,Puzzle,9,225.8,2032.2,Ana
22/11/2023,Electrónica,Tablet,10,206.97,2069.7,Luis
18/11/2023,Electrónica,Smartphone,8,65.55,524.4,Ana
03/12/2023,Electrónica,Smartphone,3,48.75,146.25,Ana
14/05/2023,Ropa,Camiseta,7,62.94,440.58,Marta
14/02/2023,Juguetes,Muñeca,10,236.49,2364.9,Desconocido
05/11/2023,Electrónica,Tablet,4,164.46,657.84,Luis
21/12/2023,Libros,Novela,1,67.73,67.73,Ana
20/03/2023,Ropa,Camiseta,8,278.55,2228.4,Desconocido
05/02/2023,Electrónica,Televisor,10,110.94,1109.4,Marta
01/11/2023,Hogar,Silla,7,122.03,854.21,Desconocido
03/03/2023,Electrónica,Auriculares,2,11.86,23.72,Desconocido
24/07/2023,Libros,Cómic,6,189.62,1137.72,Ana
02/09/2023,Electrónica,Smartphone,10,148.12,1481.2,Carlos
31/07/2023,Hogar,Silla,8,234.97,1879.76,Carlos
06/07/2023,Hogar,Mesa,10,75.08,750.8,Juan
25/12/2023,Juguetes,Bloques,10,113.82,1138.2,Ana
07/09/2023,Libros,Biografía,2,156.77,313.54,Marta
23/06/2023,Hogar,Silla,6,122.54,735.24,Desconocido
03/04/2023,Hogar,Mesa,6,error,1406.94,
09/10/2023,Libros,Cómic,2,260.3,520.6,Luis
22/02/2023,Electrónica,Televisor,5,285.46,1427.3,Marta
11/08/2023,Libros,Cómic,6,181.89,1091.34,Luis
07/05/2023,Hogar,Mesa,3,74.11,222.33,Marta
07/05/2023,Electrónica,Televisor,4,169.96,679.84,Luis
21/02/2023,Libros,Biografía,9,235.49,2119.41,Juan
14/05/2023,Ropa,Zapatos,6,295.55,1773.3,Luis
23/03/2023,Libros,Biografía,2,54.63,109.26,Carlos
10/11/2023,Libros,Libro técnico,9,26.08,234.72,Ana
27/07/2023,Hogar,Silla,9,202.88,1825.92,Desconocido
24/12/2023,Hogar,Lámpara,6,267.32,1603.92,Carlos
28/11/2023,Electrónica,Smartphone,3,113.99,341.97,Desconocido
11/03/2023,Electrónica,Smartphone,7,106.65,746.55,Luis
19/12/2023,Electrónica,Televisor,7,217.63,1523.41,Marta
26/04/2023,Electrónica,Auriculares,3,7.35,22.05,Juan
04/06/2023,Electrónica,Auriculares,2,21.04,42.08,Juan
16/11/2023,Electrónica,Televisor,4,91.87,367.48,Luis
19/05/2023,Juguetes,Bloques,10,21.68,216.8,Juan
23/04/2023,Juguetes,Coche de juguete,1,90.16,90.16,Desconocido
22/04/2023,Ropa,Pantalón,4,error,737.44,
25/03/2023,Hogar,Mesa,9,299.5,2695.5,Luis
24/10/2023,Juguetes,Muñeca,7,142.09,994.63,Carlos
03/01/2023,Hogar,Mesa,8,135.95,1087.6,Marta
12/10/2023,Juguetes,Muñeca,5,148.83,744.15,Desconocido
23/05/2023,Libros,Biografía,9,116.0,1044.0,Desconocido
07/01/2023,Electrónica,Tablet,4,124.35,497.4,Marta
09/09/2023,Juguetes,Bloques,9,290.32,2612.88,Luis
11/01/2023,Electrónica,Auriculares,5,274.81,1374.05,Luis
30/12/2023,Electrónica,Auriculares,6,77.23,463.38,Ana
26/07/2023,Electrónica,Tablet,3,9.93,29.79,Luis
09/12/2023,Juguetes,Bloques,5,161.89,809.45,Marta
16/08/2023,Hogar,Lámpara,9,43.95,395.55,Juan
20/04/2023,Ropa,Chaqueta,4,178.23,712.92,Marta
10/10/2023,Ropa,Camiseta,2,259.09,518.18,Luis
16/05/2023,Libros,Libro técnico,2,110.85,221.7,Juan
06/06/2023,Libros,Libro técnico,1,199.65,199.65,Luis
26/12/2023,Libros,Libro técnico,5,37.51,187.55,Marta
15/06/2023,Hogar,Silla,6,94.61,567.66,Marta
31/03/2023,Electrónica,Smartphone,4,84.81,339.24,Luis
